"pin pon711" "maman689" "pin pon709" "pin pon714" "livre685" "bravo665" "pin pon715" "maman694" "livre677" "canard/coin-coin669" "livre683" "coucou672" "nonnon704" "musique698" "canard/coin-coin666" "pin pon712" "voiture717" "est là1282" "encore1279" "canard/coin-coin670"
"livre683" 12.1265635356239 10.5028320794739 12.1265635356239 12.1265635356239 0 10.2423422574317 12.1265635356239 10.5028320794739 0 9.48387025104517 0 11.6925824035673 7.27515809852309 9.4952947817028 9.48387025104517 12.1265635356239 12.1189150559527 5.56486372683627 10.0648637268363 9.48387025104517
"coucou672" 6.32455532033676 8.94427190999916 6.32455532033676 6.32455532033676 11.6925824035673 6.67072675660508 6.32455532033676 8.94427190999916 11.6925824035673 4.24264068711928 11.6925824035673 0 8.48528137423857 10.9903228640714 4.24264068711928 6.32455532033676 8.94658408321293 7.8166247903554 3.3166247903554 4.24264068711928
"nonnon704" 8.94427190999916 6.32455532033676 8.94427190999916 8.94427190999916 7.27515809852309 7.62310562561766 8.94427190999916 6.32455532033676 7.27515809852309 4.24264068711928 7.27515809852309 8.48528137423857 0 9.17148485409103 4.24264068711928 8.94427190999916 9.42633265238543 5.29128784747792 7.24264068711928 4.24264068711928
"musique698" 9.97890245052378 7.46993672181444 9.97890245052378 9.97890245052378 9.4952947817028 8.19844407891978 9.97890245052378 7.46993672181444 9.4952947817028 10.4813431489222 9.4952947817028 10.9903228640714 9.17148485409103 0 10.4813431489222 9.97890245052378 11.0806797825725 8.19844407891978 9.16393822013642 10.4813431489222
"canard/coin-coin666" 7.63441361516796 7.63441361516796 7.63441361516796 7.63441361516796 9.48387025104517 6.8166247903554 7.63441361516796 7.63441361516796 9.48387025104517 0 9.48387025104517 4.24264068711928 4.24264068711928 10.4813431489222 0 7.63441361516796 9.28043461863512 5.60791263783332 7.55926547747468 0
"pin pon712" 0 6.32455532033676 0 0 12.1265635356239 3.69258240356725 0 6.32455532033676 12.1265635356239 7.63441361516796 12.1265635356239 6.32455532033676 8.94427190999916 9.97890245052378 7.63441361516796 0 8.61891505595268 7.7169905660283 6.16227766016838 7.63441361516796
"voiture717" 8.61891505595268 10.7361909472166 8.61891505595268 8.61891505595268 12.1189150559527 7.9566373957843 8.61891505595268 10.7361909472166 12.1189150559527 9.28043461863512 12.1189150559527 8.94658408321293 9.42633265238543 11.0806797825725 9.28043461863512 8.61891505595268 0 8.9566373957843 8.28506452053049 9.28043461863512
"est là1282" 7.7169905660283 6.55087614901792 7.7169905660283 7.7169905660283 5.56486372683627 5.99070478491457 7.7169905660283 6.55087614901792 5.56486372683627 5.60791263783332 5.56486372683627 7.8166247903554 5.29128784747792 8.19844407891978 5.60791263783332 7.7169905660283 8.9566373957843 0 4.5 5.60791263783332
"encore1279" 6.16227766016838 7.11788726606417 6.16227766016838 6.16227766016838 10.0648637268363 6.18252909099587 6.16227766016838 7.11788726606417 10.0648637268363 7.55926547747468 10.0648637268363 3.3166247903554 7.24264068711928 9.16393822013642 7.55926547747468 6.16227766016838 8.28506452053049 4.5 0 7.55926547747468
"canard/coin-coin670" 7.63441361516796 7.63441361516796 7.63441361516796 7.63441361516796 9.48387025104517 6.8166247903554 7.63441361516796 7.63441361516796 9.48387025104517 0 9.48387025104517 4.24264068711928 4.24264068711928 10.4813431489222 0 7.63441361516796 9.28043461863512 5.60791263783332 7.55926547747468 0
